,MI Scores
2226,0.28412436409799735
2068,0.28212273131387366
889,0.2807718664073544
63,0.280493988289078
621,0.27933501084963197
1241,0.275124223784184
755,0.27371932604522176
1752,0.2724388548511678
2581,0.27052696681635036
2494,0.2696902804895238
1317,0.26959310182130425
895,0.26912802827130333
692,0.2678215653901912
984,0.26703063351331036
2306,0.26678306741194335
1043,0.26597768553087464
404,0.2653764764709332
68,0.26400470436049295
300,0.2597297271671404
190,0.25952676474098313
1695,0.2592782713941375
666,0.2578089479813803
192,0.25697084251629
2049,0.2554643459672805
182,0.2512029190750886
1122,0.24975106620164667
1715,0.24579824876667944
597,0.2446493049652716
1308,0.24387991390289399
1763,0.24370131667368566
2547,0.2424597164085185
1075,0.24103837534932016
2634,0.2399906171983246
69,0.2376090012576313
1127,0.2364325608775153
411,0.2350468133872865
71,0.23396151194867
916,0.23270081979439805
2493,0.23207555567948512
995,0.23185479507656392
2235,0.23185068237210515
1543,0.23010449579359848
163,0.2294368093401884
2161,0.2291270781881387
2445,0.22393780917257944
1306,0.22218640842515125
1205,0.22035978849157623
1557,0.22015514093596433
74,0.21769912493968846
2009,0.2163334605979248
1687,0.21489311859259708
2471,0.2148741002566279
1240,0.21047440840847997
234,0.21032108209437572
1884,0.20947499246805545
241,0.2093104906965717
914,0.2076900424060586
2458,0.2075774357261655
1299,0.20614643370672647
1070,0.20590070270227656
582,0.20470023320546638
562,0.2044970238380186
2170,0.20390266906330057
1686,0.20369810186075776
974,0.2035026506062576
1748,0.20309794784308854
399,0.20299771114688925
1004,0.20297151566720917
1247,0.20095080514634445
1026,0.19925764354311237
376,0.19922888926330629
61,0.19721586595790663
931,0.1968894764935798
324,0.19673560446571559
132,0.19330389358983302
1472,0.19198930147022386
2239,0.19109596559114594
491,0.1909512380495122
219,0.1908065107530037
1577,0.18984731012633826
949,0.18966319843319734
592,0.1892931175383925
761,0.1889570522805526
2059,0.188386438663255
550,0.1868385618138637
3,0.18627318031288143
1709,0.18617655858928472
2416,0.18600571876120142
1858,0.18480694431837819
421,0.184174268902638
1510,0.18326961835159583
