,MI Scores
1211,0.5067274870172818
1406,0.5057178320255322
1505,0.5052667920225942
927,0.5030564277052341
2299,0.5029259882044281
380,0.5028975150202055
2203,0.5014044324536533
201,0.49948167627498474
2388,0.4976718671545979
2038,0.4974095854200742
2014,0.497165510213486
1967,0.49515985020243236
291,0.4947710233449678
2067,0.49186746684054916
10,0.49157902650320384
490,0.4898189691076493
2339,0.48975008297970346
1493,0.48932488157473797
2342,0.4889248120143952
1680,0.4877694521197318
373,0.4861264078787284
203,0.4846288854510947
1593,0.48458836530888805
1013,0.4844081559622224
2411,0.4834155467145842
2446,0.48339598689223084
225,0.48129511820954773
2223,0.4811625440203158
600,0.4802091870900542
2245,0.4772522459753126
1694,0.47602817009361464
1672,0.4754436366124528
681,0.4752740126360768
66,0.4752290140645046
1976,0.4747706486157264
2582,0.47092990543343083
764,0.4700339214076563
979,0.4674867064871795
1541,0.4667583019027062
1760,0.4667091538640631
727,0.46453235916782765
734,0.4643813595739219
975,0.46201354743299894
622,0.46173634830124954
1293,0.4601167201251024
175,0.459279333831788
726,0.45820062979653775
2540,0.4568752471174393
2075,0.45640820742398325
72,0.45274311318414595
1947,0.4523912056014088
178,0.45232965705841033
2583,0.4508222994218565
733,0.4503975622615477
83,0.4448684339628115
982,0.44166023066050264
718,0.4409491188638959
1291,0.440406567715778
955,0.4399454186130596
2072,0.4398021466568829
843,0.4393769161886154
633,0.4364389053309501
445,0.4357873953672793
2518,0.43307946587633994
2261,0.4280146007049308
1245,0.42553913612216254
2162,0.42493174875718065
848,0.4245596622944232
1302,0.4233235689764627
2337,0.4229327690903282
539,0.4224694766784336
972,0.4199839582604048
1611,0.41674306175026077
518,0.4156881343932137
1024,0.4082461293024209
354,0.4062054877093002
757,0.4048315096767614
227,0.4019735127102271
2514,0.39968377310875214
1719,0.39553021327467675
894,0.3954380034965159
719,0.39469061898831326
391,0.39237621648598564
2355,0.3908546151342487
1010,0.38974349866048974
2597,0.38961636656044774
1774,0.38931024597374675
2279,0.3885632229274867
1909,0.3876687277680557
2341,0.3876127976706223
429,0.3870824217142128
35,0.38539949158558695
444,0.385216942129774
1599,0.3848173314286254
2500,0.38427872462698387
1249,0.3839959054651876
254,0.3834108209265721
2091,0.38173468108372655
377,0.3800011347963297
645,0.37725253977569206
2648,0.37724070013065925
1509,0.37620268390118516
2227,0.37585531351508816
1094,0.375558411678115
1077,0.37444995608102594
