,MI Scores
1572,0.5756803607176755
189,0.5749721521411693
2579,0.5748801439648934
2507,0.5741135958974153
162,0.5730494250861222
385,0.5722207757604101
2537,0.5721919522091552
1648,0.5720731793182194
2412,0.5713981183138157
1286,0.5706494909536384
2109,0.5691720390035173
1729,0.5686689849317941
1130,0.5651549951222992
164,0.5606239968478386
2472,0.5598077376812798
2599,0.5581762204515395
503,0.5568060486815254
682,0.5545582928058648
1315,0.5543970825681723
396,0.553805633475253
1084,0.5533075141922674
2521,0.5532644008724217
1860,0.5523803945446781
2270,0.5522782124743666
1027,0.5518258341735174
1728,0.5513859623480779
292,0.5500775732385184
973,0.550028742361558
2008,0.5499946032596617
93,0.5483348094915284
205,0.5474032590866345
1692,0.5471899801197506
2503,0.5449086133100645
2038,0.5440091772718172
1892,0.5433729102452978
136,0.5424470524173406
112,0.5404169050198946
1430,0.5386172409536454
2040,0.5385846679372313
1231,0.53759794038855
2575,0.5372644966001396
2241,0.537123365998665
1537,0.536750108275877
1681,0.5362321990854169
433,0.5354908669317593
980,0.5351062335489969
1319,0.5350839059138901
2501,0.5350579456934184
1121,0.5345546492477999
277,0.53454001530794
1585,0.534358260597902
1163,0.5334619151065239
2419,0.5324549083062722
119,0.5320855209641275
999,0.5315008948090532
389,0.5310292439688244
517,0.5309504962025022
1013,0.5307249405773544
981,0.5302228001111013
200,0.5278420985418302
1406,0.5272306702451268
2004,0.5271605539595947
1211,0.5268240676812985
1794,0.5267046245116374
1268,0.5265449746671527
1652,0.5262727253301134
275,0.5255982587840404
1149,0.524077977071534
318,0.5239741632870112
683,0.5235665680106303
1626,0.5218321503598189
56,0.5213374063236029
284,0.5198922609217145
1097,0.5192356646208098
2526,0.5182948188651855
2041,0.5176556415609375
490,0.5134664722428843
1285,0.5122902911443616
921,0.5115843771465813
1701,0.511284650058855
1038,0.5112289411213502
2143,0.5079414140802958
201,0.5069436946588559
291,0.5069291600038637
10,0.5055439317423647
852,0.5054043005325577
2342,0.5047489420503093
2203,0.5037813325159026
927,0.502898174500106
2228,0.5025739915401053
2371,0.5015846365067231
2014,0.49935992118320427
2534,0.498997683420747
1707,0.49821650617658464
2528,0.497872180494761
1505,0.4976071084875868
2583,0.49644424366043705
2446,0.4961691089639335
373,0.4926273180581231
2299,0.49113131622431383
1275,0.4910134766455063
979,0.4897874580486723
2339,0.48975008297970346
1493,0.48932488157473797
1593,0.4878516852695929
975,0.48314308501111736
2587,0.4823684011885734
2075,0.48178690582802863
1680,0.4813938695765201
2388,0.48133803313025103
2245,0.4804094555529259
681,0.47973732225333854
982,0.47907213887641253
1976,0.47802942819791716
1541,0.4771798472463227
2223,0.47685395497819494
83,0.4767094562454106
225,0.4763714689023897
203,0.4755767374819404
1967,0.4752960812980418
718,0.4741708104677771
764,0.4716453079802607
2411,0.47098831032365984
66,0.4707028371164528
622,0.47001657018606813
2518,0.46948667444774506
175,0.4670011205955922
2540,0.4668345985896172
726,0.4659292038704257
734,0.46402773840853784
1760,0.4617730811591392
1024,0.4605305413452796
380,0.45922515876277137
72,0.4590225323373238
727,0.45665161231434914
1672,0.4560475387435483
843,0.4556215103203347
2067,0.4543674947652969
2582,0.4518959778651461
1245,0.4517522887836256
178,0.4511945095077492
